episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
365,2822.8,5327,3067,22,-1,530,0,7105160
366,927.0,656,677,5,-1,110,380,7110408
367,5118.6,1908,760,17,-1,2235,345,7114672
368,2093.2,3069,2356,16,-1,380,357,7117336
369,5038.2,2120,748,21,-1,1910,358,7118280
370,687.8,521,1558,1,-1,20,393,7122448
371,4959.2,3080,543,18,-1,945,357,7122664
372,4403.8,3949,744,21,-1,1625,79,7123816
373,2617.4,3170,3070,19,-1,480,0,7129624
374,3058.4,5275,1672,22,-1,520,389,7130152
375,5780.4,2141,73,20,-1,1530,396,7131800
376,2275.0,3022,3072,19,-1,450,0,7134584
377,5010.8,2745,504,16,-1,1885,339,7144624
378,4379.4,4161,1524,9,-1,2290,0,7150624
379,5241.8,3463,519,25,-1,2390,350,7151520
380,4720.8,2303,730,16,-1,1235,350,7153008
381,2585.2,3097,3069,18,-1,410,0,7154400
382,5372.2,3083,549,23,-1,795,375,7154816
383,1804.4,4332,1391,2,-1,100,395,7157104
384,5118.0,3213,50,22,-1,2550,394,7157504
385,4957.0,1575,551,15,-1,2030,374,7164120
386,5799.8,1938,743,21,-1,1815,363,7166128
387,4625.8,1716,744,7,-1,2110,364,7168544
388,5129.0,2702,711,19,-1,1265,356,7176016
389,5282.4,1634,887,24,-1,2445,336,7177192
390,5147.6,2670,750,18,-1,1285,360,7178464
391,4689.4,1957,730,3,-1,1835,341,7181784
392,5733.2,1884,554,18,-1,1735,372,7183616
393,2115.6,5291,1663,14,-1,340,386,7186952
394,5104.2,1617,66,15,-1,2135,395,7190128
395,2532.8,5267,1680,18,-1,410,390,7195144
396,4418.2,2593,74,5,-1,1115,395,7199208
397,5251.2,5368,535,20,-1,1110,370,7200448
398,5110.6,2090,65,19,-1,2305,395,7206848
399,2405.8,3144,2355,19,-1,450,370,7208768
400,5075.8,2835,356,15,-1,1190,383,7209632
401,5552.8,4290,518,20,-1,2270,323,7210336
402,5005.0,1586,638,7,-1,1970,362,7211896
403,4871.8,1480,66,17,-1,1980,395,7212288
404,591.8,561,1392,1,-1,40,394,7213256
405,5216.0,2288,743,18,-1,1660,357,7213448
406,4140.0,1519,81,4,-1,1950,395,7219000
407,5242.4,1613,745,20,-1,2285,373,7223240
408,4965.2,1774,61,20,-1,1730,395,7223824
409,5183.8,1830,549,21,-1,2230,379,7226536
410,1792.6,1726,1558,3,-1,100,391,7227256
411,4922.4,5720,899,28,-1,1510,0,7227544
412,5147.4,1800,548,17,-1,1920,375,7227656
