episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
592,205.4,672,1027,0,0,50,361,869592
593,34.4,382,172,0,0,0,391,871344
594,365.0,1093,1325,2,0,70,396,874408
595,314.4,658,1322,1,0,30,397,874856
596,964.0,3094,1320,14,0,330,397,878768
597,136.4,578,182,2,0,60,392,879032
598,140.4,718,702,0,0,30,373,880600
599,362.2,2584,561,5,0,1930,264,881112
600,188.8,366,194,3,0,60,393,881960
601,700.0,3007,0,14,0,290,0,882824
602,868.4,2935,592,15,0,300,384,882984
603,315.8,556,1329,1,0,40,395,885048
604,412.6,823,1313,3,0,130,397,885352
605,276.2,730,1381,0,0,20,394,886952
606,650.0,3295,0,13,0,340,0,887928
607,433.6,664,1418,3,0,100,394,888136
608,312.8,774,1314,1,0,70,397,888152
609,263.2,602,1316,0,0,30,397,890168
610,213.2,602,566,2,0,50,384,892744
611,113.4,1402,67,2,0,1755,394,894200
612,302.2,949,1011,2,0,90,328,895728
613,700.0,3162,0,14,0,320,0,896640
614,437.4,654,1687,2,0,80,389,899432
615,249.8,858,749,2,0,100,368,899608
616,278.6,613,1393,0,0,10,394,900632
617,214.4,562,572,2,0,50,378,901136
618,864.4,1503,1322,12,0,310,397,902192
619,957.2,1932,536,17,0,2050,284,902408
620,116.0,642,580,0,0,10,381,904744
621,122.2,760,611,0,0,20,383,905512
622,264.6,651,1323,0,0,10,396,905840
623,313.0,788,1315,1,0,40,396,908712
624,860.6,2707,53,17,0,1295,393,909808
625,137.0,565,185,2,0,50,392,910032
626,326.8,749,1384,1,0,70,393,910736
627,261.6,783,1308,0,0,40,397,912104
628,138.0,464,190,2,0,50,393,913520
629,854.8,1486,24,17,0,1955,389,914080
630,313.0,722,1315,1,0,60,397,914488
631,168.8,457,594,1,0,20,377,915760
632,241.4,740,707,2,0,60,371,916656
