episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
407,-358.237787,38,0,0,0,0,0,0,0,38168
408,-722.630927,49,0,0,0,0,0,0,0,38304
409,-389.395428,37,0,0,0,0,0,0,0,38336
410,461.182172,90,0,0,0,0,0,0,0,38392
411,-731.53494,37,0,0,0,0,0,0,0,38408
412,-673.129691,54,0,0,0,0,0,0,0,38600
413,-494.457132,38,0,0,0,0,0,0,0,38712
414,-441.646777,40,0,0,0,0,0,0,0,38712
415,-719.33096,22,0,0,0,0,0,0,0,38776
416,-71.304709,119,0,0,0,0,0,0,0,38896
417,-779.663431,103,0,0,0,0,0,0,0,38904
418,-722.131522,24,0,0,0,0,0,0,0,38968
419,-831.584058,37,0,0,0,0,0,0,0,39008
420,-311.327539,113,0,0,0,0,0,0,0,39208
421,-689.846771,26,0,0,0,0,0,0,0,39216
422,-813.984467,41,0,0,0,0,0,0,0,39296
423,-265.238556,121,0,0,0,0,0,0,0,39304
424,-616.893308,52,0,0,0,0,0,0,0,39320
425,-2129.856119,417,0,0,0,0,0,0,0,39504
426,-96.551633,102,0,0,0,0,0,0,0,39528
427,-579.762885,29,0,0,0,0,0,0,0,39552
428,-621.956036,57,0,0,0,0,0,0,0,39672
429,-444.828354,26,0,0,0,0,0,0,0,39736
430,-539.462683,69,0,0,0,0,0,0,0,39760
431,-838.556381,36,0,0,0,0,0,0,0,39792
432,-71.087836,119,0,0,0,0,0,0,0,39848
433,-339.523758,16,0,0,0,0,0,0,0,39888
434,-512.357208,76,0,0,0,0,0,0,0,39904
435,-681.018445,47,0,0,0,0,0,0,0,40048
436,-434.415897,40,0,0,0,0,0,0,0,40056
437,-765.621536,26,0,0,0,0,0,0,0,40056
438,-485.374417,42,0,0,0,0,0,0,0,40224
439,91.54892,116,0,0,0,0,0,0,0,40232
440,-792.378519,43,0,0,0,0,0,0,0,40248
441,-483.074698,99,0,0,0,0,0,0,0,40344
442,-462.845163,38,0,0,0,0,0,0,0,40352
443,-435.158771,40,0,0,0,0,0,0,0,40376
444,-898.564743,41,0,0,0,0,0,0,0,40384
445,-656.763211,37,0,0,0,0,0,0,0,40544
446,-888.149158,30,0,0,0,0,0,0,0,40584
447,-608.609283,46,0,0,0,0,0,0,0,40600
448,-739.760156,38,0,0,0,0,0,0,0,40656
449,-417.918445,40,0,0,0,0,0,0,0,40696
450,-503.357034,43,0,0,0,0,0,0,0,40728
451,-769.646375,32,0,0,0,0,0,0,0,40840
452,-752.970844,25,0,0,0,0,0,0,0,40896
453,-166.35318,146,0,0,0,0,0,0,0,40960
454,-833.412784,45,0,0,0,0,0,0,0,41016
455,-657.047556,43,0,0,0,0,0,0,0,41184
456,-714.289273,47,0,0,0,0,0,0,0,41272
457,-301.108206,39,0,0,0,0,0,0,0,41272
458,625.006818,135,0,0,0,0,0,0,0,41304
459,-586.31033,37,0,0,0,0,0,0,0,41312
460,-574.539859,25,0,0,0,0,0,0,0,41384
461,-196.430096,87,0,0,0,0,0,0,0,41424
462,-493.794159,26,0,0,0,0,0,0,0,41520
463,-567.279944,29,0,0,0,0,0,0,0,41536
464,-329.271225,36,0,0,0,0,0,0,0,41560
465,-851.765131,38,0,0,0,0,0,0,0,41576
466,-694.212811,37,0,0,0,0,0,0,0,41680
467,-407.557336,38,0,0,0,0,0,0,0,41824
468,-664.370023,37,0,0,0,0,0,0,0,41872
469,-424.853503,40,0,0,0,0,0,0,0,42000
470,-416.151773,38,0,0,0,0,0,0,0,42128
471,-434.306641,191,0,0,0,0,0,0,0,42128
472,-154.207272,97,0,0,0,0,0,0,0,42200
473,-217.816806,95,0,0,0,0,0,0,0,42296
474,-764.506351,40,0,0,0,0,0,0,0,42320
475,-181.710074,99,0,0,0,0,0,0,0,42352
476,-977.673999,30,0,0,0,0,0,0,0,42368
477,-613.66326,49,0,0,0,0,0,0,0,42520
478,-382.628378,29,0,0,0,0,0,0,0,42600
479,-439.214517,38,0,0,0,0,0,0,0,42600
480,-553.196057,37,0,0,0,0,0,0,0,42648
481,-706.59057,43,0,0,0,0,0,0,0,42664
482,239.616031,102,0,0,0,0,0,0,0,42688
483,-581.629465,28,0,0,0,0,0,0,0,42824
484,-545.887006,37,0,0,0,0,0,0,0,42944
485,-600.149167,37,0,0,0,0,0,0,0,42984
486,179.682413,104,0,0,0,0,0,0,0,43032
487,-987.863345,30,0,0,0,0,0,0,0,43272
488,-576.545984,43,0,0,0,0,0,0,0,43288
489,-71.337759,119,0,0,0,0,0,0,0,43472
490,-152.934103,114,0,0,0,0,0,0,0,43512
491,-407.554895,43,0,0,0,0,0,0,0,43632
492,-600.343192,29,0,0,0,0,0,0,0,43704
493,164.898199,93,0,0,0,0,0,0,0,43728
494,-512.146701,20,0,0,0,0,0,0,0,43792
495,626.647067,142,0,0,0,0,0,0,0,43800
496,-648.912851,43,0,0,0,0,0,0,0,43856
497,-338.893845,141,0,0,0,0,0,0,0,43952
498,-640.058957,37,0,0,0,0,0,0,0,44000
499,-559.690265,40,0,0,0,0,0,0,0,44048
500,-91.824207,105,0,0,0,0,0,0,0,44112
501,-732.423495,55,0,0,0,0,0,0,0,44240
502,-1051.868347,46,0,0,0,0,0,0,0,44416
503,-794.271884,30,0,0,0,0,0,0,0,44480
504,57.327316,16,0,0,0,0,0,0,0,44544
505,-1239.836307,110,0,0,0,0,0,0,0,44672
506,-379.184305,78,0,0,0,0,0,0,0,44736
